period,day,mean_car_pct,ci_lo_pct,ci_hi_pct,n_events
selection_2005_2014,54,1.5398492170834586,0.2777650185141858,2.7999543112448695,4803
selection_2005_2014,55,1.5510738112437015,0.24703256273079002,2.838014403855603,4803
selection_2005_2014,56,1.5575094678926227,0.24001790748371357,2.8613104387308264,4803
selection_2005_2014,57,1.5425535729806021,0.20154661751230885,2.862298270087924,4803
selection_2005_2014,58,1.5344338668113835,0.1406001588707787,2.886207769880052,4803
selection_2005_2014,59,1.4731280137071412,0.028743531503875604,2.8506150367839584,4803
selection_2005_2014,60,1.4575352800814505,0.019945348078690306,2.834235340871028,4803
holdout_2015_2026,1,0.07729905061471257,-0.06900247303589337,0.2239132216203503,9966
holdout_2015_2026,2,0.06886395585847375,-0.13270050584550414,0.279718289168879,9966
holdout_2015_2026,3,0.08681162345097497,-0.16104354091673048,0.3443536776198948,9966
holdout_2015_2026,4,-0.010937488968752922,-0.27433591657222217,0.2571550938753595,9966
holdout_2015_2026,5,-0.04933301374803142,-0.34608569910244297,0.2581588088852857,9966
holdout_2015_2026,6,-0.07673615138862801,-0.3996880066001737,0.26250027193036674,9966
holdout_2015_2026,7,-0.02914835733046868,-0.40821346771947076,0.3492742094620571,9966
holdout_2015_2026,8,-0.017708743962021902,-0.4407952929511134,0.3989055613949983,9966
holdout_2015_2026,9,-0.08638683188728224,-0.5394291256873304,0.3587229578614166,9966
holdout_2015_2026,10,-0.11953175115354321,-0.6060099547861313,0.36578670112570394,9966
holdout_2015_2026,11,-0.08762509653071435,-0.634473106325778,0.4413715827730277,9966
holdout_2015_2026,12,-0.011464988406760223,-0.5811615153063214,0.5535624545484911,9966
holdout_2015_2026,13,0.047049799777539564,-0.5909643277112966,0.6665252013374451,9966
holdout_2015_2026,14,0.03408205616800054,-0.6587490311721794,0.710437971981796,9966
holdout_2015_2026,15,0.08462636263495935,-0.6455484219053645,0.7809937528003,9966
holdout_2015_2026,16,0.1160399910000323,-0.639908727934714,0.8573076106587638,9966
holdout_2015_2026,17,0.13381689721452275,-0.6481702429230259,0.9177279222100883,9966
holdout_2015_2026,18,0.15392606323813618,-0.6843003717384031,0.9711416599083595,9966
holdout_2015_2026,19,0.19233861967344232,-0.6798963402561687,1.0583939396520115,9966
holdout_2015_2026,20,0.19766870316102247,-0.7047659046416888,1.1245224409870425,9966
holdout_2015_2026,21,0.17012339335454393,-0.7502793710081715,1.1222007480690492,9966
holdout_2015_2026,22,0.25478168160675135,-0.6910179958420428,1.2375902038448379,9966
holdout_2015_2026,23,0.31429081259966485,-0.6497986855478652,1.3207362906992752,9966
holdout_2015_2026,24,0.2502790036141085,-0.7514174491992376,1.2893399020443308,9966
holdout_2015_2026,25,0.1998259785815449,-0.8652594815200372,1.3044822360141384,9966
holdout_2015_2026,26,0.21680968082714566,-0.8810923000182235,1.3665302045515808,9966
